time_s,ax,ay,az,gx,gy,gz,mx,my,mz
1.136040,1.236188,0.521718,9.831085,-1.159668,-5.981445,-0.122070,-4.012804,-9.094753,-70.096311
1.155821,1.320113,0.496874,9.817487,-0.183105,-1.525879,-0.061035,-3.545601,-8.633566,-71.933763
1.174493,1.270212,0.519459,9.735902,0.122070,0.427246,-0.122070,-5.881616,-7.250002,-73.311852
1.193848,1.224847,0.514942,9.767630,0.366211,1.403809,-0.061035,-4.480007,-8.172378,-74.230578
1.214041,1.238456,0.501391,9.774428,0.610352,3.479004,-0.061035,-3.545601,-9.094753,-72.393126
1.233823,1.172677,0.557854,9.783493,0.732422,3.784180,-0.305176,-5.414413,-6.788814,-73.771215
1.253555,1.236188,0.537527,9.758564,0.915527,4.821777,-0.427246,-4.947210,-7.711190,-73.771215
1.273087,1.134117,0.564629,9.788026,0.854492,4.089355,-0.061035,-2.377593,-9.325347,-71.704081
1.292931,1.129581,0.499132,9.803890,0.854492,4.272461,-0.183105,-3.545601,-7.711190,-73.311852
1.313165,1.056997,0.571405,9.767630,-0.061035,0.549316,-0.122070,-3.779202,-9.325347,-73.082170
1.333591,1.236188,0.519459,9.826553,0.122070,0.976562,-0.305176,-2.844796,-7.941784,-72.163444
1.353802,1.165873,0.555595,9.819754,0.183105,1.281738,-0.244141,-2.611194,-9.094753,-71.474400
1.373585,1.122776,0.551078,9.810689,-0.061035,0.488281,-0.122070,-1.910390,-8.402972,-72.163444
1.393419,1.168141,0.514942,9.747233,-0.305176,-1.281738,-0.122070,-4.012804,-9.094753,-71.933763
1.413491,1.147727,0.512684,9.715505,-0.671387,-2.502441,0.000000,-6.582420,-8.402972,-71.244718
1.433331,1.190823,0.537527,9.785760,-0.610352,-2.990723,-0.122070,-4.480007,-9.094753,-69.636948
1.452519,1.199896,0.553337,9.810689,-0.671387,-2.746582,-0.122070,-5.180811,-11.170099,-73.082170
1.471234,1.220310,0.492357,9.874144,-0.305176,-1.281738,-0.122070,-4.480007,-8.172378,-71.933763
1.489984,1.224847,0.546561,9.849215,-0.061035,0.854492,-0.061035,-3.078397,-10.017129,-71.933763
1.509181,1.206701,0.537527,9.769896,0.122070,0.366211,-0.122070,-4.246405,-9.786535,-72.163444
1.528782,1.168141,0.526235,9.724570,-0.305176,-1.037598,0.000000,-3.311999,-9.325347,-73.082170
1.547980,1.195360,0.539786,9.767630,-0.122070,-0.305176,-0.061035,-3.779202,-9.325347,-72.163444
1.566697,1.222579,0.523976,9.862813,-0.305176,-1.220703,-0.061035,-3.779202,-9.786535,-69.866629
1.587090,1.247529,0.544303,9.878677,0.244141,1.281738,-0.183105,-4.947210,-11.400692,-71.933763
1.606028,1.236188,0.562371,9.846949,0.244141,1.403809,0.000000,-2.143991,-9.555941,-70.555674
1.625695,1.197628,0.530752,9.808422,0.366211,1.708984,-0.122070,-4.246405,-7.941784,-71.704081
1.644824,1.174946,0.553337,9.785760,0.305176,1.647949,-0.244141,-4.246405,-7.941784,-74.000896
1.663461,1.138654,0.548820,9.788026,0.000000,0.183105,-0.183105,-3.545601,-8.633566,-70.555674
1.683044,1.202164,0.535269,9.767630,0.061035,0.427246,-0.244141,-2.377593,-7.019408,-72.622807
1.702673,1.199896,0.530752,9.801624,-0.427246,-1.647949,-0.183105,-3.779202,-9.325347,-72.622807
1.723061,1.179482,0.557854,9.758564,0.244141,1.831055,-0.244141,-5.180811,-7.480596,-71.704081
1.742730,1.202164,0.514942,9.788026,0.244141,0.976562,0.000000,-4.713608,-8.864160,-71.704081
1.762230,1.120508,0.621092,9.810689,-0.183105,0.000000,-0.061035,-4.947210,-7.711190,-72.852489
1.781176,1.136386,0.571405,9.808422,-0.061035,-0.488281,-0.122070,-5.180811,-8.402972,-73.541533
1.799718,1.179482,0.553337,9.751766,-0.305176,-0.793457,-0.122070,-2.143991,-8.172378,-72.852489
1.819853,1.186287,0.519459,9.747233,-0.122070,-0.244141,-0.122070,-2.611194,-7.711190,-72.393126
1.838214,1.204433,0.505908,9.769896,-0.061035,0.244141,0.122070,-3.311999,-8.864160,-72.163444
1.857578,1.165873,0.544303,9.788026,0.122070,0.549316,0.000000,-5.414413,-5.866439,-72.393126
1.877238,1.168141,0.553337,9.769896,0.122070,0.610352,-0.122070,-4.012804,-8.172378,-71.015037
1.897273,1.190823,0.557854,9.801624,-0.061035,0.671387,-0.122070,-2.844796,-9.786535,-72.163444
1.916520,1.202164,0.503649,9.808422,0.366211,1.403809,-0.061035,-4.246405,-8.402972,-73.541533
1.935670,1.152263,0.553337,9.774428,0.061035,0.854492,0.000000,-4.012804,-8.633566,-71.474400
1.955855,1.184019,0.544303,9.760831,0.122070,-0.122070,0.000000,-5.180811,-10.708911,-70.785355
1.974981,1.195360,0.566888,9.783493,0.122070,0.305176,-0.061035,-5.180811,-10.247723,-72.622807
1.994361,1.218042,0.542044,9.808422,0.061035,0.549316,0.000000,-4.713608,-7.480596,-71.704081
2.012766,1.077412,0.528493,9.772162,0.244141,1.159668,-0.061035,-3.078397,-8.172378,-71.474400
2.031965,1.229383,0.533010,9.858280,0.061035,1.098633,-0.122070,-2.377593,-8.864160,-71.704081
2.051705,1.086484,0.551078,9.722304,0.061035,0.488281,0.061035,-4.947210,-6.788814,-73.311852
2.071216,1.206701,0.548820,9.778961,-0.183105,-0.610352,-0.061035,-4.713608,-8.402972,-71.244718
2.090794,1.131849,0.582698,9.792559,0.061035,0.305176,-0.061035,-2.844796,-9.325347,-73.541533
2.110529,1.152263,0.571405,9.799357,-0.061035,0.854492,-0.122070,-3.311999,-7.480596,-71.704081
2.129364,1.149995,0.560112,9.803890,-0.122070,-0.061035,-0.122070,-5.180811,-8.864160,-71.244718
2.149254,1.213506,0.548820,9.772162,0.183105,0.305176,-0.183105,-4.012804,-8.172378,-71.474400
2.169291,1.134117,0.510425,9.797091,-0.122070,0.122070,0.061035,-5.180811,-8.402972,-71.704081
2.188606,1.127313,0.555595,9.774428,-0.183105,-0.976562,-0.183105,-4.947210,-8.172378,-72.852489
2.207700,1.181750,0.571405,9.767630,-0.122070,-0.732422,-0.366211,-3.545601,-8.172378,-71.474400
