time_s,ax,ay,az,gx,gy,gz,mx,my,mz
1.008368,1.383623,0.537527,9.713239,-0.183105,-0.061035,-0.061035,20.281756,14.425824,-69.636948
1.024871,1.376819,0.523976,9.828819,-0.183105,0.000000,-0.122070,20.515357,13.734043,-70.325992
1.041934,1.367746,0.546561,9.808422,-0.183105,0.122070,0.000000,21.916967,14.656418,-67.569814
1.058732,1.331454,0.539786,9.831085,-0.122070,-0.061035,0.122070,20.281756,13.964637,-66.421407
1.075593,1.372282,0.526235,9.772162,-0.122070,-0.061035,-0.183105,21.449764,13.272855,-68.029177
1.092583,1.329186,0.501391,9.783493,-0.122070,0.000000,0.000000,20.515357,15.117606,-68.488540
1.109479,1.360941,0.530752,9.810689,-0.122070,-0.122070,0.000000,19.113748,15.117606,-70.325992
1.126585,1.360941,0.530752,9.783493,-0.122070,0.061035,0.061035,22.384170,16.962357,-68.947903
1.143672,1.335990,0.503649,9.740434,-0.122070,-0.122070,0.122070,20.748959,15.809388,-69.636948
1.160757,1.376819,0.553337,9.822020,-0.122070,0.000000,0.000000,19.347350,13.042261,-71.015037
1.177821,1.367746,0.519459,9.781227,0.000000,0.061035,-0.061035,20.048154,15.578794,-68.488540
1.194792,1.367746,0.528493,9.724570,-0.061035,0.122070,0.305176,21.683365,15.348200,-69.177585
1.211684,1.374550,0.557854,9.833351,-0.183105,0.122070,-0.061035,21.683365,14.425824,-70.096311
1.228737,1.333722,0.510425,9.797091,-0.061035,0.000000,0.122070,19.580951,14.195231,-70.325992
1.245845,1.347332,0.510425,9.819754,-0.061035,-0.122070,0.183105,21.916967,14.195231,-68.947903
1.262920,1.374550,0.542044,9.842416,-0.122070,0.000000,-0.061035,19.580951,14.656418,-68.488540
1.279750,1.354136,0.517201,9.790292,0.061035,0.061035,0.000000,19.814553,14.887012,-70.096311
1.296464,1.370014,0.542044,9.778961,-0.244141,-0.061035,-0.061035,19.580951,14.195231,-70.785355
1.313027,1.381355,0.542044,9.778961,-0.061035,0.000000,-0.122070,20.515357,16.962357,-68.488540
1.330045,1.354136,0.519459,9.837884,-0.183105,-0.061035,-0.122070,22.384170,16.039982,-70.785355
1.346806,1.351868,0.503649,9.844683,-0.244141,0.122070,-0.122070,21.449764,14.195231,-70.325992
1.363894,1.347332,0.544303,9.763097,-0.122070,-0.061035,-0.122070,19.347350,14.887012,-69.177585
1.380595,1.426720,0.548820,9.831085,-0.122070,-0.061035,0.122070,20.748959,16.731763,-70.096311
1.397680,1.383623,0.499132,9.828819,-0.183105,0.122070,-0.122070,19.814553,15.348200,-67.340133
1.414526,1.363209,0.508166,9.781227,0.000000,0.061035,-0.061035,20.748959,15.348200,-69.636948
1.431453,1.383623,0.546561,9.840150,-0.061035,-0.061035,-0.122070,19.814553,14.887012,-72.393126
1.448221,1.370014,0.514942,9.835618,0.061035,0.061035,0.122070,20.048154,15.117606,-68.029177
1.464910,1.333722,0.521718,9.797091,-0.183105,0.122070,0.183105,22.384170,16.039982,-68.488540
1.481526,1.399501,0.533010,9.758564,-0.061035,0.000000,-0.122070,20.281756,14.887012,-70.096311
1.497989,1.415379,0.528493,9.812955,0.061035,-0.061035,0.244141,20.281756,14.887012,-68.258859
1.514537,1.363209,0.526235,9.833351,-0.061035,0.000000,-0.061035,20.048154,12.811667,-69.866629
1.531483,1.383623,0.544303,9.808422,0.000000,0.000000,-0.122070,18.646545,14.656418,-67.569814
1.548420,1.404037,0.530752,9.788026,0.061035,-0.122070,0.000000,21.216162,16.270576,-70.555674
1.564955,1.370014,0.508166,9.824286,-0.061035,0.000000,-0.305176,20.281756,16.270576,-70.555674
1.581539,1.376819,0.537527,9.763097,-0.183105,-0.122070,0.122070,18.412944,13.042261,-70.096311
1.597957,1.347332,0.530752,9.835618,0.000000,-0.122070,-0.122070,19.814553,15.809388,-68.258859
1.614507,1.385892,0.519459,9.772162,-0.122070,0.061035,-0.122070,20.281756,14.425824,-71.474400
1.631455,1.370014,0.487840,9.808422,-0.061035,0.122070,-0.061035,21.916967,14.195231,-69.866629
1.648420,1.360941,0.537527,9.760831,-0.122070,0.000000,-0.183105,19.814553,15.348200,-67.799496
1.664954,1.399501,0.508166,9.738168,-0.061035,0.000000,0.061035,18.880147,13.042261,-71.933763
1.681523,1.370014,0.560112,9.785760,-0.183105,-0.122070,0.000000,18.179342,13.734043,-69.866629
1.697964,1.397233,0.526235,9.801624,-0.122070,-0.061035,-0.061035,20.982561,15.117606,-69.407266
1.714466,1.365477,0.535269,9.760831,0.000000,0.000000,0.183105,18.646545,13.734043,-70.325992
1.731423,1.367746,0.519459,9.799357,-0.183105,0.061035,0.000000,20.515357,15.578794,-68.488540
1.748370,1.367746,0.514942,9.740434,-0.244141,0.000000,0.000000,22.384170,14.656418,-69.866629
1.764940,1.379087,0.560112,9.763097,0.000000,-0.122070,-0.183105,18.412944,15.809388,-67.799496
1.781014,1.356404,0.512684,9.862813,-0.061035,-0.061035,0.122070,21.683365,15.809388,-68.718222
1.797695,1.342795,0.555595,9.822020,0.000000,0.000000,-0.061035,20.748959,15.348200,-69.636948
1.814210,1.376819,0.535269,9.815221,-0.183105,-0.122070,-0.183105,20.281756,14.887012,-67.799496
1.830805,1.324649,0.528493,9.758564,0.000000,0.122070,0.000000,19.347350,16.731763,-68.718222
1.847702,1.372282,0.517201,9.772162,-0.183105,0.000000,-0.244141,20.515357,13.734043,-68.947903
1.864365,1.358673,0.499132,9.788026,0.000000,0.000000,-0.122070,22.150568,16.270576,-67.799496
1.880733,1.376819,0.523976,9.831085,-0.122070,0.183105,-0.061035,21.216162,13.503449,-70.096311
1.897411,1.363209,0.519459,9.819754,-0.061035,-0.061035,0.061035,18.412944,14.887012,-70.096311
1.913971,1.390428,0.505908,9.856014,-0.061035,0.000000,-0.305176,19.580951,14.195231,-69.866629
1.930494,1.381355,0.496874,9.819754,-0.244141,-0.061035,0.000000,21.449764,16.501170,-68.029177
1.947210,1.404037,0.523976,9.810689,0.000000,0.122070,-0.061035,19.113748,16.039982,-68.947903
1.963712,1.390428,0.537527,9.799357,-0.061035,0.000000,-0.122070,19.347350,15.348200,-70.555674
1.980210,1.392696,0.533010,9.788026,-0.122070,-0.061035,-0.122070,19.113748,15.578794,-68.029177
1.996363,1.388160,0.551078,9.776695,-0.122070,-0.061035,-0.122070,21.216162,16.270576,-67.340133
2.012921,1.370014,0.539786,9.819754,-0.183105,0.061035,-0.061035,19.113748,16.039982,-68.029177
2.029012,1.379087,0.526235,9.769896,-0.244141,-0.122070,0.061035,19.814553,14.425824,-68.718222
2.045597,1.349600,0.528493,9.763097,-0.061035,0.000000,0.000000,20.748959,15.809388,-68.718222
2.061985,1.351868,0.530752,9.790292,0.061035,-0.122070,0.061035,20.048154,14.195231,-68.947903
2.078539,1.363209,0.517201,9.788026,0.000000,-0.061035,-0.122070,23.318576,16.962357,-68.029177
2.095530,1.376819,0.535269,9.778961,-0.061035,-0.061035,0.061035,19.814553,16.270576,-69.636948
2.111470,1.338259,0.503649,9.812955,-0.122070,-0.061035,0.122070,20.982561,14.656418,-68.029177
2.127890,1.347332,0.508166,9.758564,0.061035,0.061035,0.183105,21.449764,14.656418,-68.488540
2.144683,1.370014,0.533010,9.778961,-0.244141,0.000000,0.061035,22.384170,15.578794,-69.407266
2.161666,1.381355,0.539786,9.774428,-0.183105,0.122070,0.122070,18.880147,14.887012,-71.015037
2.178638,1.385892,0.492357,9.846949,0.000000,0.122070,0.000000,21.216162,15.809388,-70.096311
2.195506,1.367746,0.526235,9.788026,-0.061035,0.061035,-0.061035,20.982561,16.039982,-68.947903
2.212537,1.372282,0.533010,9.856014,-0.305176,-0.061035,-0.061035,21.449764,16.962357,-66.651088
